ip,port,type,response_time_ms,country,proxy_url
23.237.210.82,80,http,423.33,Unknown,http://23.237.210.82:80
23.247.136.254,80,http,707.83,Unknown,http://23.247.136.254:80
161.35.70.249,3128,http,1010.2,Unknown,http://161.35.70.249:3128
123.141.181.49,5031,http,1030.71,Unknown,http://123.141.181.49:5031
47.74.157.194,80,http,1128.1,Unknown,http://47.74.157.194:80
170.244.27.61,8888,http,1216.43,Unknown,http://170.244.27.61:8888
4.195.16.140,80,http,1233.08,Unknown,http://4.195.16.140:80
170.244.25.52,8888,http,1379.3,Unknown,http://170.244.25.52:8888
123.30.154.171,7777,http,1394.31,Unknown,http://123.30.154.171:7777
203.19.38.114,1080,http,1610.19,Unknown,http://203.19.38.114:1080
97.74.87.226,80,http,1673.6,Unknown,http://97.74.87.226:80
185.112.151.207,8022,http,1747.56,Unknown,http://185.112.151.207:8022
170.244.26.36,8888,http,2312.82,Unknown,http://170.244.26.36:8888
47.252.29.28,11222,http,2532.09,Unknown,http://47.252.29.28:11222
170.244.27.142,8888,http,2599.13,Unknown,http://170.244.27.142:8888
158.255.77.169,80,http,2695.72,Unknown,http://158.255.77.169:80
115.127.31.66,8080,http,2727.49,Unknown,http://115.127.31.66:8080
170.244.27.58,8888,http,2885.51,Unknown,http://170.244.27.58:8888
